"filename", "language", "Batch", "Markdown", "JSON", "Gradle", "JSON with Comments", "Java Properties", "Java", "comment", "blank", "total"
"c:\Users\samuh\Downloads\Crescendo\.DataLogTool\datalogtool.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\samuh\Downloads\Crescendo\.SysId\sysid.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\samuh\Downloads\Crescendo\.pathplanner\settings.json", "JSON with Comments", 0, 0, 0, 0, 12, 0, 0, 0, 0, 12
"c:\Users\samuh\Downloads\Crescendo\.wpilib\wpilib_preferences.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\samuh\Downloads\Crescendo\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\samuh\Downloads\Crescendo\WPILib-License.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\samuh\Downloads\Crescendo\build.gradle", "Gradle", 0, 0, 0, 62, 0, 0, 0, 19, 21, 102
"c:\Users\samuh\Downloads\Crescendo\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\samuh\Downloads\Crescendo\gradlew.bat", "Batch", 41, 0, 0, 0, 0, 0, 0, 30, 22, 93
"c:\Users\samuh\Downloads\Crescendo\settings.gradle", "Gradle", 0, 0, 0, 28, 0, 0, 0, 0, 3, 31
"c:\Users\samuh\Downloads\Crescendo\src\main\deploy\pathplanner\navgrid.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\samuh\Downloads\Crescendo\src\main\java\frc\lib\Items\SparkMax\SparkController.java", "Java", 0, 0, 0, 0, 0, 0, 96, 3, 11, 110
"c:\Users\samuh\Downloads\Crescendo\src\main\java\frc\lib\configs\Sparkmax\SparkControllerInfo.java", "Java", 0, 0, 0, 0, 0, 0, 84, 0, 11, 95
"c:\Users\samuh\Downloads\Crescendo\src\main\java\frc\lib\configs\Sparkmax\SwerveModuleInfo.java", "Java", 0, 0, 0, 0, 0, 0, 20, 3, 5, 28
